,admission_type_id,discharge_disposition_id,admission_source_id,time_in_hospital,num_lab_procedures,num_procedures,num_medications,number_outpatient,number_emergency,number_inpatient,number_diagnoses,Readmission_30_Days
admission_type_id,1.0,0.11044762437445384,0.3076575476456009,-0.025534801515782832,-0.16016474857436205,0.08104530572875737,0.1061951669836598,0.11224488962949859,0.02801368394708947,-0.02437428001584698,-0.04747928282970302,-0.008452106834716543
discharge_disposition_id,0.11044762437445384,1.0,0.011538974164173045,0.1437157463247501,-0.016257019620880983,0.024870196436861187,0.10200370401488837,-0.015004844174066001,-0.02250178571258692,0.015265094617046582,0.06843574941234902,0.03751296827102411
admission_source_id,0.3076575476456009,0.011538974164173045,1.0,-0.03196335564214263,-0.07675147063419469,-0.14852369329763343,-0.0280756965323513,0.1546714223197659,0.11096003061785163,0.03977431514434551,0.11300714654696173,0.0019505743994878849
time_in_hospital,-0.025534801515782832,0.1437157463247501,-0.03196335564214263,1.0,0.2617110559289009,0.22967738907812196,0.4572195428550166,-0.019828860952337993,-0.015336043359239437,0.08076872269750678,0.26439210459063317,0.05418543430966219
num_lab_procedures,-0.16016474857436205,-0.016257019620880983,-0.07675147063419469,0.2617110559289009,1.0,0.09667708775201489,0.21799110279522518,-0.05344693160794887,-0.04381846081802115,0.04229832077030656,0.10395784541643546,0.02046522871319951
num_procedures,0.08104530572875737,0.024870196436861187,-0.14852369329763343,0.22967738907812196,0.09667708775201489,1.0,0.4317625852709328,-0.020180664882598714,-0.035948233806945444,-0.060820809099751225,0.10575872926840064,-0.011904086719153986
num_medications,0.1061951669836598,0.10200370401488837,-0.0280756965323513,0.4572195428550166,0.21799110279522518,0.4317625852709328,1.0,0.03705533581365033,0.01687128387738563,0.051954651417557327,0.2527356730504676,0.046227664410750983
number_outpatient,0.11224488962949859,-0.015004844174066001,0.1546714223197659,-0.019828860952337993,-0.05344693160794887,-0.020180664882598714,0.03705533581365033,1.0,0.12353441245930978,0.0881493725581006,0.08655635286260319,0.01638965940878563
number_emergency,0.02801368394708947,-0.02250178571258692,0.11096003061785163,-0.015336043359239437,-0.04381846081802115,-0.035948233806945444,0.01687128387738563,0.12353441245930978,1.0,0.23990156794951786,0.048455811137767764,0.05899227578814387
number_inpatient,-0.02437428001584698,0.015265094617046582,0.03977431514434551,0.08076872269750678,0.04229832077030656,-0.060820809099751225,0.051954651417557327,0.0881493725581006,0.23990156794951786,1.0,0.12140174624320972,0.16176055223228242
number_diagnoses,-0.04747928282970302,0.06843574941234902,0.11300714654696173,0.26439210459063317,0.10395784541643546,0.10575872926840064,0.2527356730504676,0.08655635286260319,0.048455811137767764,0.12140174624320972,1.0,0.06504479123139364
Readmission_30_Days,-0.008452106834716543,0.03751296827102411,0.0019505743994878849,0.05418543430966219,0.02046522871319951,-0.011904086719153986,0.046227664410750983,0.01638965940878563,0.05899227578814387,0.16176055223228242,0.06504479123139364,1.0
