Feature,Importance
number_inpatient,0.23445581215882919
discharge_disposition_id,0.17594395083593867
number_diagnoses,0.05311822926944458
num_medications,0.05270643011840736
num_lab_procedures,0.05077020615223786
time_in_hospital,0.0244701410815778
num_procedures,0.0189231561069187
insulin_No,0.01675488346382812
admission_source_id,0.014428639976521601
age_[80-90),0.012445993605296485
admission_type_id,0.012210611237409226
metformin_Steady,0.009768558702344362
number_emergency,0.008987134648240637
diag_1_786,0.008664303109715466
diag_2_518,0.007863731622859183
