Feature,Importance
number_inpatient,0.12977071925783698
discharge_disposition_id,0.07273575011015287
number_diagnoses,0.048521619862989446
num_medications,0.043534865753346946
time_in_hospital,0.03923541513112981
number_emergency,0.024910409940013024
diag_3_250,0.024597483494703615
num_lab_procedures,0.022649465513293186
number_outpatient,0.014416491579429997
diag_1_V58,0.013313218474520251
num_procedures,0.01176919043138152
insulin_No,0.011517530915992722
diag_1_434,0.011229606629520968
diag_1_786,0.011090366495317382
admission_source_id,0.010388237697363127
