,encounter_id,patient_nbr,race,gender,age,weight,admission_type_id,discharge_disposition_id,admission_source_id,time_in_hospital,payer_code,medical_specialty,num_lab_procedures,num_procedures,num_medications,number_outpatient,number_emergency,number_inpatient,diag_1,diag_2,diag_3,number_diagnoses,max_glu_serum,A1Cresult,metformin,repaglinide,nateglinide,chlorpropamide,glimepiride,acetohexamide,glipizide,glyburide,tolbutamide,pioglitazone,rosiglitazone,acarbose,miglitol,troglitazone,tolazamide,examide,citoglipton,insulin,glyburide_metformin,glipizide_metformin,glimepiride_pioglitazone,metformin_rosiglitazone,metformin_pioglitazone,change,diabetesMed,readmitted
count,50000.0,50000.0,50000,50000,50000,50000,50000.0,50000.0,50000.0,50000.0,50000,50000,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000,50000,50000,50000.0,4639,7609,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
unique,,,6,3,10,10,,,,,16,68,,,,,,,639,635,671,,3,3,4,4,4,4,4,2,4,4,2,4,4,3,3,2,3,1,1,4,4,2,1,1,1,2,2,3
top,,,Caucasian,Female,[70-80),?,,,,,?,?,,,,,,,414,428,250,,Norm,>8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,NO
freq,,,35711,26989,13096,48138,,,,,32655,17746,,,,,,,3835,3485,6232,,2356,4358,40924,49406,49739,49933,47748,49999,43543,43806,49982,46954,46542,49868,49983,49997,49964,50000,50000,25739,49821,49996,50000,50000,50000,29652,37379,26926
mean,83003559.64908,36223550.55432,,,,,2.23492,4.28376,6.32714,4.56024,,,42.31132,1.37236,15.28262,0.2208,0.12398,0.58244,,,,6.89886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,40382012.77668746,34794272.560828544,,,,,1.626341136819046,6.03689731111793,4.799014485412669,3.090281886696226,,,19.358673896284852,1.688598548412604,8.127604019300023,0.8685519257067783,0.6241287930667889,1.197444079632313,,,,2.0249722740457985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,12522.0,135.0,,,,,1.0,1.0,1.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,50718952.5,5755014.0,,,,,1.0,1.0,1.0,2.0,,,30.0,0.0,10.0,0.0,0.0,0.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,84075780.0,23583528.0,,,,,2.0,1.0,7.0,4.0,,,43.0,1.0,14.0,0.0,0.0,0.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75%,116290402.5,63263547.0,,,,,3.0,5.0,7.0,6.0,,,56.0,2.0,19.0,0.0,0.0,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,150640602.0,115218441.0,,,,,8.0,28.0,20.0,14.0,,,129.0,6.0,81.0,36.0,42.0,21.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
