Feature,Missing_Count,Missing_Percentage
encounter_id,0,0.0
patient_nbr,0,0.0
race,1257,2.51
gender,0,0.0
age,0,0.0
weight,48138,96.28
admission_type_id,0,0.0
discharge_disposition_id,0,0.0
admission_source_id,0,0.0
time_in_hospital,0,0.0
payer_code,32655,65.31
medical_specialty,17746,35.49
num_lab_procedures,0,0.0
num_procedures,0,0.0
num_medications,0,0.0
number_outpatient,0,0.0
number_emergency,0,0.0
number_inpatient,0,0.0
diag_1,11,0.02
diag_2,266,0.53
diag_3,1083,2.17
number_diagnoses,0,0.0
max_glu_serum,45361,90.72
A1Cresult,42391,84.78
metformin,0,0.0
repaglinide,0,0.0
nateglinide,0,0.0
chlorpropamide,0,0.0
glimepiride,0,0.0
acetohexamide,0,0.0
glipizide,0,0.0
glyburide,0,0.0
tolbutamide,0,0.0
pioglitazone,0,0.0
rosiglitazone,0,0.0
acarbose,0,0.0
miglitol,0,0.0
troglitazone,0,0.0
tolazamide,0,0.0
examide,0,0.0
citoglipton,0,0.0
insulin,0,0.0
glyburide_metformin,0,0.0
glipizide_metformin,0,0.0
glimepiride_pioglitazone,0,0.0
metformin_rosiglitazone,0,0.0
metformin_pioglitazone,0,0.0
change,0,0.0
diabetesMed,0,0.0
readmitted,0,0.0
